ansatz_type,problem_index,trial,energy,exact_energy,error,time,build_time,opt_time,params,depth,converged,adapt_iterations,adapt_initial_energy,adapt_energy_drop,adapt_history_length,termination_criterion
MomentumBuilder,1,1,24.635111036885647,6.0,18.635111036885647,2.441817045211792,1.9490671157836914,0.4927499294281006,21,22,False,,,,,
MomentumBuilder,2,1,13.481538705228553,5.0,8.481538705228553,2.2561147212982178,1.973127841949463,0.2829868793487549,21,26,False,,,,,
MomentumBuilder,3,1,6.316267995398937,4.0,2.3162679953989374,2.501465320587158,2.158114194869995,0.3433511257171631,21,15,False,,,,,
MomentumBuilder,4,1,31.634245889683232,6.0,25.634245889683232,3.9802701473236084,3.5483081340789795,0.4319620132446289,21,18,False,,,,,
MomentumBuilder,5,1,21.12562976811418,12.0,9.12562976811418,2.7579219341278076,2.4802968502044678,0.27762508392333984,21,22,False,,,,,
MomentumBuilder,6,1,28.149559194774387,15.0,13.149559194774387,2.7454400062561035,2.1036369800567627,0.6418030261993408,21,15,False,,,,,
MomentumBuilder,7,1,26.61475931793666,14.0,12.61475931793666,2.748792886734009,2.454284906387329,0.2945079803466797,21,20,False,,,,,
MomentumBuilder,8,1,24.138929672673036,4.0,20.138929672673036,1.9982609748840332,1.7207610607147217,0.2774999141693115,21,14,False,,,,,
MomentumBuilder,9,1,23.275599459882166,17.0,6.275599459882166,2.0048341751098633,1.7238819599151611,0.28095221519470215,21,13,False,,,,,
MomentumBuilder,10,1,17.36776379354518,13.0,4.36776379354518,2.159379243850708,1.8818480968475342,0.27753114700317383,21,22,False,,,,,
MomentumBuilder,11,1,19.08923202382703,8.0,11.08923202382703,1.987485408782959,1.7200682163238525,0.26741719245910645,21,15,False,,,,,
MomentumBuilder,12,1,31.37185295165633,16.0,15.37185295165633,2.1958069801330566,1.9171059131622314,0.2787010669708252,21,17,False,,,,,
MomentumBuilder,1,2,24.635111036885647,6.0,18.635111036885647,2.193223237991333,1.8734362125396729,0.31978702545166016,21,22,False,,,,,
MomentumBuilder,2,2,13.481538705228553,5.0,8.481538705228553,2.1988751888275146,1.9227089881896973,0.2761662006378174,21,26,False,,,,,
MomentumBuilder,3,2,6.316267995398937,4.0,2.3162679953989374,1.9867451190948486,1.7213151454925537,0.2654299736022949,21,15,False,,,,,
MomentumBuilder,4,2,31.634245889683232,6.0,25.634245889683232,1.98661208152771,1.7254619598388672,0.2611501216888428,21,18,False,,,,,
MomentumBuilder,5,2,21.12562976811418,12.0,9.12562976811418,1.936985969543457,1.6698060035705566,0.2671799659729004,21,22,False,,,,,
MomentumBuilder,6,2,28.149559194774387,15.0,13.149559194774387,1.8715956211090088,1.6009747982025146,0.27062082290649414,21,15,False,,,,,
