ansatz_type,problem_index,trial,energy,exact_energy,error,time,build_time,opt_time,params,depth,converged,adapt_iterations,adapt_initial_energy,adapt_energy_drop,adapt_history_length,termination_criterion
MomentumBuilder,1,1,-9.999999993118848,-10.0,6.881151648485684e-09,0.03515934944152832,0.00017905235290527344,0.03498029708862305,1,1,True,,,,,
MomentumBuilder,2,1,10.000000006611288,500.0,489.9999999933887,0.026009082794189453,9.512901306152344e-05,0.02591395378112793,1,1,False,,,,,
MomentumBuilder,3,1,-9.999975318777821,-10.0,2.4681222178912776e-05,0.21877694129943848,0.04717588424682617,0.1716010570526123,8,13,True,,,,,
MomentumBuilder,4,1,-12.838442185295605,-13.0,0.1615578147043948,0.17360615730285645,0.03721499443054199,0.13639116287231445,8,13,False,,,,,
MomentumBuilder,5,1,-21.415277990258588,-22.0,0.5847220097414123,0.20025897026062012,0.06276607513427734,0.13749289512634277,9,14,False,,,,,
MomentumBuilder,6,1,-2.6110233731478596,-7.0,4.38897662685214,0.3677797317504883,0.1213986873626709,0.24638104438781738,10,13,False,,,,,
MomentumBuilder,7,1,-14.895473163490394,-24.0,9.104526836509606,0.5388650894165039,0.2932240962982178,0.24564099311828613,11,9,False,,,,,
MomentumBuilder,8,1,-9.99954949913456,-10.0,0.0004505008654405174,0.33368778228759766,0.14496493339538574,0.18872284889221191,10,12,True,,,,,
MomentumBuilder,9,1,-7.824657510058383,-10.0,2.1753424899416167,0.47253918647766113,0.22318005561828613,0.249359130859375,10,14,False,,,,,
MomentumBuilder,10,1,-14.432001032971932,-15.0,0.5679989670280676,0.4276599884033203,0.18406200408935547,0.24359798431396484,10,13,False,,,,,
MomentumBuilder,11,1,-6.203923155325461,-12.0,5.796076844674539,1.5945940017700195,1.2530910968780518,0.3415029048919678,20,12,False,,,,,
MomentumBuilder,12,1,-15.769273111888012,-10.0,5.769273111888012,0.5068678855895996,0.19826984405517578,0.30859804153442383,11,10,False,,,,,
MomentumBuilder,1,2,-9.999999993118848,-10.0,6.881151648485684e-09,0.04010272026062012,0.0001049041748046875,0.03999781608581543,1,1,True,,,,,
MomentumBuilder,2,2,10.000000006611288,500.0,489.9999999933887,0.036108970642089844,0.00010585784912109375,0.03600311279296875,1,1,False,,,,,
